avg_monthly_hrs,department,filed_complaint,last_evaluation,n_projects,recently_promoted,salary,satisfaction,status,tenure
221,engineering,,0.93286764,4,,low,0.829896196,Left,5
232,support,,,3,,low,0.834543795,Employed,2
184,sales,,0.788829842,3,,medium,0.834987611,Employed,3
206,sales,,0.575687931,4,,low,0.424764288,Employed,2
249,sales,,0.845217472,3,,low,0.779043096,Employed,3
140,sales,,0.589097371,4,,medium,0.660019905,Employed,4
121,sales,1,0.62539883,3,,low,0.835570551,Employed,3
150,engineering,,0.644585844,4,,low,0.796683395,Employed,3
215,engineering,1,0.524113534,3,,medium,0.715005032,Employed,7
269,support,,0.90936433,5,,medium,0.994037398,Employed,2
147,sales,,,2,,medium,0.403551808,Left,3
188,sales,1,0.925479635,6,,low,0.481408602,Employed,5
191,support,,0.94672381,5,,low,0.925337129,Employed,4
290,engineering,,0.770247875,6,,medium,0.090342793,Left,4
253,sales,,0.579966137,5,,medium,0.627725955,Employed,6
258,support,,0.837502513,5,,medium,0.849667273,Left,5
151,engineering,,0.452832173,4,,medium,0.658608148,Employed,3
252,IT,,0.919196292,5,,low,0.893364991,Left,5
276,product,,0.570038733,4,,low,0.382260201,Employed,2
154,marketing,,,2,,low,0.422224874,Left,3
259,product,,0.763606786,2,,low,0.787468037,Employed,3
136,marketing,,,3,,low,0.441057742,Employed,3
176,IT,,,3,,low,0.871386304,Employed,3
231,support,,0.937508766,4,,medium,0.668369478,Employed,3
125,temp,,,2,,medium,,Employed,
109,sales,1,0.79806866,3,,low,0.537828341,Employed,3
130,procurement,1,0.71603037,6,,low,0.175453989,Employed,6
163,sales,,0.550433959,2,,medium,0.544376726,Employed,3
67,temp,,,1,,low,,Employed,
184,sales,,0.762948071,4,,medium,0.617610995,Employed,3
268,engineering,,0.943844635,3,,low,0.936081051,Employed,4
188,finance,,0.862307682,3,,medium,1,Employed,4
107,engineering,,0.474348552,2,,medium,0.615676167,Employed,3
156,sales,,0.621111081,3,,medium,0.428014178,Employed,3
234,IT,1,0.861565035,4,,medium,0.627199943,Employed,2
127,sales,,,5,,low,0.834380141,Employed,3
282,IT,,0.723354974,5,,medium,0.213991819,Employed,3
133,sales,,0.971212667,3,,low,0.818819904,Employed,4
270,engineering,,0.475292597,6,,low,0.150336702,Employed,5
184,,,1,5,,low,0.297124012,Employed,5
132,marketing,,0.49501302,2,,low,0.438559832,Left,3
126,support,1,0.821486565,3,,low,0.772891198,Employed,10
139,product,,0.856088543,4,,medium,0.683456025,Employed,3
308,engineering,,0.863262837,7,,medium,0.124350225,Left,4
70,temp,,,3,,low,,Employed,
147,engineering,,,2,,low,0.401974707,Left,3
274,support,,0.842357313,5,,medium,0.803068372,Left,6
278,sales,,0.766255776,7,,low,0.148641754,Left,4
156,engineering,,0.988904842,4,,medium,0.456248436,Employed,2
185,sales,,0.598749269,4,,low,0.869204284,Employed,2
263,sales,,0.74494677,6,,low,0.75962,Employed,6
260,sales,,0.765783959,5,,low,0.711329117,Employed,3
224,support,,0.561019606,5,,medium,0.905668552,Employed,2
224,sales,,0.910270844,4,,medium,0.615978244,Employed,10
135,sales,,0.533361921,2,,low,0.38807014,Left,3
147,marketing,,0.713746664,2,,low,0.967868021,Employed,3
245,engineering,,0.932526594,7,,medium,0.061173623,Left,4
203,product,1,0.494479275,3,,medium,0.492376555,Employed,3
235,finance,1,0.735849779,4,,high,0.928861452,Employed,2
187,IT,,0.734682888,3,,low,0.213485172,Employed,5
132,management,,0.535231622,2,,low,0.429822085,Left,3
258,product,,0.813773773,7,,low,0.146593185,Left,4
165,engineering,,0.522047697,4,,low,0.851394379,Employed,2
146,sales,,0.531577279,2,,low,0.401953819,Left,3
159,,,0.69410072,3,,low,0.556401859,Employed,3
198,engineering,,0.749982471,2,,medium,0.526960725,Left,2
159,marketing,,0.483106968,2,,low,0.43881927,Left,3
275,product,,0.573595902,2,,low,0.894658513,Employed,3
141,support,,0.932462217,3,,medium,0.810725322,Employed,3
173,finance,,,4,,low,0.862683386,Employed,3
203,sales,,0.586132024,5,,medium,0.703755789,Employed,2
203,engineering,,0.606090193,4,,low,0.274144974,Employed,5
230,sales,,0.801731336,5,,medium,0.129582617,Employed,4
168,sales,,0.589119715,4,,low,0.475901904,Employed,2
183,IT,,0.716132846,3,,low,0.786998508,Employed,3
246,support,,0.328416715,5,,medium,0.461553349,Employed,3
209,engineering,,0.707901457,5,,low,0.83158224,Employed,3
224,sales,,1,3,,medium,0.527417463,Employed,6
143,support,,0.583222824,2,,low,0.47794849,Left,3
140,sales,,0.999150412,2,,medium,0.503040551,Employed,2
212,support,,0.789082021,3,,low,0.725231676,Employed,4
156,marketing,,0.502562826,3,,low,0.635503289,Employed,5
186,IT,,0.859763957,3,,medium,0.729667531,Employed,2
162,sales,,0.502258814,3,,low,0.800482238,Employed,3
158,support,,0.543576313,2,,low,0.352520083,Left,3
156,sales,,,3,,low,0.549054593,Employed,2
283,IT,,,3,,low,0.550003652,Employed,3
113,,,0.51179362,4,,low,0.632133264,Employed,3
214,IT,1,,4,,low,0.969407787,Employed,2
181,product,1,0.674893831,3,,medium,0.547941154,Employed,3
140,support,,0.801322765,4,,low,0.526745455,Employed,3
184,engineering,,0.91845009,4,,low,0.914882605,Employed,3
168,sales,1,0.38962669,3,,low,0.394051565,Employed,3
146,engineering,,0.557437297,2,,medium,0.471104659,Left,3
251,engineering,,0.871911091,4,,medium,0.696053471,Employed,2
219,support,,1,5,,low,0.734579415,Left,5
170,product,,0.518013684,2,,low,0.352082286,Employed,3
187,marketing,,0.680370266,4,,medium,0.189115472,Employed,5
207,product,,0.495033515,3,,medium,0.576405945,Employed,3
165,support,,0.598530648,5,,low,0.769536381,Employed,3
241,,,0.766544821,3,,low,0.851892327,Employed,3
139,engineering,,,4,,low,0.771816992,Employed,3
165,support,,0.838420071,3,,low,0.598248189,Employed,4
167,engineering,,0.625649373,5,,low,0.48711385,Employed,2
163,sales,,0.927717667,4,,medium,0.792414076,Employed,3
161,,,0.695097614,2,,medium,0.611688697,Employed,5
271,IT,,0.969304005,6,,low,0.172048603,Left,4
310,sales,,0.858179169,7,,medium,0.14712497,Left,4
257,support,,0.725018809,4,,low,0.762030408,Employed,3
278,sales,,0.86223674,7,,low,0.09798443,Left,4
229,engineering,,0.630154828,3,,medium,0.081563741,Employed,6
186,IT,,0.560171576,3,,medium,0.736063189,Employed,3
211,sales,,0.947729025,4,,high,0.355979751,Employed,7
248,management,,,4,,high,0.6236264,Employed,3
231,management,1,,3,,high,0.745388743,Employed,2
266,sales,,0.872041703,3,,low,0.694190318,Employed,5
135,engineering,,0.451192122,2,,low,0.39165186,Left,3
248,support,,1,5,,medium,0.700604106,Left,5
161,IT,,0.725723556,4,,low,0.785723887,Employed,3
212,product,,0.872785534,3,,medium,0.53186313,Employed,2
103,,,0.583870365,3,,low,0.381824396,Employed,3
160,sales,,0.890712724,3,,low,0.76176503,Employed,2
268,engineering,,0.797235381,5,,low,0.851411584,Employed,3
116,sales,1,0.845078319,4,,low,0.309868647,Employed,3
150,,,0.559400039,2,,low,0.444263577,Left,3
146,IT,,0.500957306,2,,low,0.411233749,Left,3
215,IT,,0.421692216,6,,medium,0.606946726,Employed,3
194,sales,,0.534309122,5,,high,0.969190798,Employed,2
200,product,,0.425131894,5,,medium,0.565407294,Employed,4
213,sales,,0.770463824,3,,high,0.543262177,Employed,3
163,information_technology,,0.905180515,3,,low,0.93331322,Employed,2
148,sales,,0.473026924,2,,low,0.443427764,Left,3
245,product,,0.506201223,2,,medium,0.454911642,Employed,5
250,support,,0.873045465,3,,low,0.553442105,Left,2
